,score
16674,2
35117,8
6471,0
3144,4
29335,0
35409,5
741,0
10240,0
31907,2
28292,0
30144,1
27175,4
13419,12
22149,8
8714,5
32459,0
6815,5
10066,4
35394,0
6931,1
13650,24
5104,1
26120,2
33362,0
15127,2
22401,0
28093,25
14211,78
17877,5
13178,29
22394,130
21491,188
5659,32
21547,28
15433,11
34342,14
23551,153
33237,3
27471,18
22106,77
4052,8
12202,4
24142,42
30422,0
7543,13
31997,0
28035,4054
2590,5
29287,0
2640,1
30406,1
14650,133
35999,1
28889,0
33077,6
12672,21
7161,32
19719,34
3323,58
27142,18
18094,0
8839,2
13701,0
6435,0
35247,6
9462,2
28374,5
29748,2
35941,0
18391,4
1818,10
3548,37
36073,1
4612,1
33878,6
16190,4
35145,0
26407,5
14827,0
22446,125
6787,0
1643,11
4998,1
7629,32
34659,3
33965,5
27093,58
9025,3
11360,42
21942,193
31972,1
31422,1
8233,0
1861,3
12026,7
5452,5
21595,359
23828,42
13572,7
6350,12
11830,3
3705,7
17588,1
31343,1
36492,103
18049,1
8492,2
20291,576
25857,11
29396,0
28413,9
16205,1
3976,1
31883,1
26979,13
33222,11
15316,1
29154,8
16218,3
35893,23
32389,1
35299,1
11097,12
23763,19
31903,3
5100,5
928,1
29049,88
20683,11664
12262,76
27303,1
2038,74
862,5
1386,9
16422,1
6302,0
24299,29
31255,0
13026,186
7185,4
11111,34
20293,373
23337,165
15054,0
6095,1
23414,13
17194,5
14482,26
25440,10
30729,3
9131,2
15114,7
29692,1
15410,2
3222,28
11442,2023
19232,517
491,1
